planet_name,planet_mass,planet_radius,star_name,star_distance_to_us (pc),star_mass,star_radius,star_sp_type,has_atmospere
OGLE-2016-BLG-1067L b,0.43,,OGLE-2016-BLG-1067L,3730.0,0.3,,M,
OGLE-2016-BLG-1093L b,0.71,,OGLE-2016-BLG-1093L,8120.0,0.48,,,
OGLE-2016-BLG-1195L b,0.0045,,OGLE-2016-BLG-1195L,3910.0,0.078,,,
OGLE-2016-BLG-1227 b,0.79,,OGLE-2016-BLG-1227,1210.0,0.1,,,
OGLE-2016-BLG-1850 b,0.02936,,OGLE-2016-BLG-1850,,,,,
OGLE-2016-BLG-1928,0.0009,,,,,,,
OGLE-2017-BLG-0406 b,0.41,,OGLE-2017-BLG-0406,5200.0,0.56,,,
OGLE-2017-BLG-0604 b,0.51,,OGLE-2017-BLG-0604,3950.0,0.7,,,
OGLE-2017-BLG-1434L b,0.014,,OGLE-2017-BLG-1434L,860.0,0.23,,M,
OGLE-2017-BLG-1522L b,0.75,,OGLE-2017-BLG-1522L,990.0,0.046,,,
OGLE-2017-BLG-1806 b,0.01658,,OGLE-2017-BLG-1806,6400.0,0.38,,,
OGLE-2018-BLG-0298 b,0.14,,OGLE-2018-BLG-0298,6540.0,0.69,,,
OGLE-2018-BLG-0383 b,0.0201,,OGLE-2018-BLG-0383,7700.0,0.1,,,
OGLE-2018-BLG-0506 b,0.0513,,OGLE-2018-BLG-0506,5600.0,0.63,,,
OGLE-2018-BLG-0516 b,0.0632,,OGLE--2018-BLG-0516,7000.0,0.47,,,
OGLE-2018-BLG-0532 b,0.019636,,OGLE-2018-BLG-0532,790.0,0.199,,,
OGLE-2018-BLG-0567L b,0.32,,OGLE-2018-BLG-0567L,7070.0,0.24,,,
OGLE-2018-BLG-0596 b,0.0267,,OGLE-2018-BLG-0596,5900.0,0.2,,,
OGLE-2018-BLG-0677L b,0.01246,,OGLE-2018-BLG-0677L,7700.0,0.1,,,
OGLE-2018-BLG-0799 b,0.41,,OGLE-2018-BLG-0799,6290.0,0.16,,,
OGLE-2018-BLG-0932 b,0.89,,OGLE-2018-BLG-0932,6620.0,0.72,,,
OGLE-2018-BLG-0977 b,0.0201,,OGLE-2018-BLG-0977,6500.0,0.47,,,
OGLE-2018-BLG-1119 b,0.91,,OGLE-2018-BLG-1119,5760.0,0.48,,,
OGLE-2018-BLG-1126 b,0.056,,OGLE-2018-BLG-1126,5700.0,0.69,,,
OGLE-2018-BLG-1185 b,0.0264,,OGLE-2018-BLG-1185,7400.0,0.37,,,
OGLE-2018-BLG-1212 b,0.2,,OGLE-2018-BLG-1212,1550.0,0.16,,,
OGLE-2018-BLG-1269L b,0.69,,OGLE-2018-BLG-1269L,2560.0,1.13,,,
OGLE-2018-BLG-1367 b,0.95,,OGLE-2018-BLG-1367,5370.0,0.28,,,
OGLE-2018-BLG-1428L b,0.77,,OGLE-2018-BLG-1428L,6220.0,0.43,,,
OGLE-2018-BLG-1647 b,0.97,,OGLE-2018-BLG-1647,,0.092,,,
OGLE-2019-BLG-0304 b,0.51,,OGLE-2019-BLG-0304,6980.0,0.27,,,
OGLE-2019-BLG-0551,0.0242,,,,,,,
OGLE-2019-BLG-0960 b,0.00708,,OGLE-2019-BLG-0960,880.0,0.47,,,
OGLE-2019-BLG-1053L b,0.0078,,OGLE-2019-BLG-1053L,6800.0,0.61,,,
OGLE-2019-BLG-1492 b,0.1167,,OGLE-2019-BLG-1492,5600.0,0.68,,,
OGLE-TR-10 b,0.68,1.72,OGLE-TR-10,1248.0,1.18,1.16,G or K,
OGLE-TR-111 b,0.54,1.077,OGLE-TR-111,1114.0,0.82,0.831,G or K,
OGLE-TR-211 b,0.75,1.26,OGLE-TR-211,1830.0,1.33,1.64,,
PSR 1257+12 b,7E-05,,PSR 1257+12,710.0,,,PSR,
PSR 1257+12 c,0.013,,PSR 1257+12,710.0,,,PSR,
PSR 1257+12 d,0.012,,PSR 1257+12,710.0,,,PSR,
Qatar-10 b,0.736,1.534,Qatar-10,539.0,1.156,1.254,F7V,
Qatar-6 A b,0.668,1.062,Qatar-6 A,101.0,0.822,0.722,K2V,
Qatar-8 b,0.371,1.285,Qatar-8,276.7,1.029,1.315,GOV,
TCP J050742+244755 b,0.06,,TCP J050742+244755,429.0,0.495,,,
TIC 156514476.01,0.02973,,TIC 156514476,,,,,
TIC 365102760 b,0.0604,0.554,TIC 365102760,555.5,1.21,3.23,,
TOI-1052 b,0.0532,0.256,TOI-1052,128.7,1.204,1.264,,
TOI-1062 b,0.032,0.20198,TOI-1062,82.2,0.94,0.84,,
TOI-1064 b,0.0425,0.2308,TOI-1064,68.81,0.748,0.726,,
TOI-1064 c,0.0079,0.23651,TOI-1064,68.81,0.748,0.726,,
TOI-1075 b,0.03131,0.15978,TOI-1075,61.5,0.6,0.58,,
TOI-1130 b,0.06066,0.3176,TOI-1130,58.26,0.684,0.687,K,
TOI-1136 b,0.00947,0.17,TOI-1136,84.536,1.022,0.968,,
TOI-1136 c,0.019,0.25685,TOI-1136,84.536,1.022,0.968,,
TOI-1136 d,0.025,0.4128,TOI-1136,84.536,1.022,0.968,,
TOI-1136 e,0.017,0.23544,TOI-1136,84.536,1.022,0.968,,
TOI-1136 f,0.0261,0.3462,TOI-1136,84.536,1.022,0.968,,
